Eb/N0	BER_flooding	BER_layered
1.200000	1.341383e-01	1.506605e-01
1.400000	8.438802e-02	6.128906e-02
1.500000	6.453480e-02	3.205966e-02
1.600000	4.429096e-02	5.158617e-03
1.700000	3.142282e-02	1.773201e-03
1.800000	1.445194e-02	3.255208e-04
2.000000	2.857481e-03	9.943182e-05
2.200000	3.267045e-04	4.498106e-05
2.400000	7.279830e-05	3.373580e-05
2.600000	2.249053e-05	1.834754e-05
2.800000	1.420455e-05	1.361269e-05
3.000000	7.102273e-06	7.102273e-06
3.200000	2.367424e-06	2.367424e-06
3.400000	1.775568e-06	1.775568e-06
3.600000	0.000000e+00	0.000000e+00
3.800000	0.000000e+00	0.000000e+00
4.000000	0.000000e+00	0.000000e+00
4.200000	0.000000e+00	0.000000e+00
4.400000	0.000000e+00	0.000000e+00
4.600000	0.000000e+00	0.000000e+00
4.800000	0.000000e+00	0.000000e+00
5.000000	0.000000e+00	0.000000e+00
