Eb/N0	BER_flooding	BER_layered
0.500000	2.281570e-01	2.328350e-01
0.600000	2.222704e-01	2.281783e-01
0.800000	2.002486e-01	2.129735e-01
0.900000	1.865507e-01	2.025521e-01
1.000000	1.736411e-01	1.938009e-01
1.200000	1.383215e-01	1.474882e-01
1.400000	8.950994e-02	7.311080e-02
1.500000	6.798177e-02	3.637311e-02
1.600000	4.469460e-02	7.434896e-03
1.700000	3.016217e-02	2.814867e-03
1.800000	1.624882e-02	2.604167e-04
2.000000	2.676373e-03	7.220644e-05
2.200000	4.249527e-04	3.551136e-05
2.400000	7.457386e-05	3.077652e-05
2.600000	2.308239e-05	1.953125e-05
2.800000	8.877841e-06	7.694129e-06
3.000000	3.551136e-06	3.551136e-06
3.200000	0.000000e+00	0.000000e+00
3.400000	0.000000e+00	0.000000e+00
3.600000	0.000000e+00	0.000000e+00
3.800000	0.000000e+00	0.000000e+00
4.000000	0.000000e+00	0.000000e+00
4.200000	0.000000e+00	0.000000e+00
4.400000	0.000000e+00	0.000000e+00
4.600000	0.000000e+00	0.000000e+00
4.800000	0.000000e+00	0.000000e+00
5.000000	0.000000e+00	0.000000e+00
