Eb/N0	BER_flooding	BER_layered
0.500000	2.232777e-01	2.693419e-01
0.600000	2.145230e-01	2.665021e-01
0.800000	1.960843e-01	2.574136e-01
0.900000	1.846307e-01	2.534008e-01
1.000000	1.732126e-01	2.491087e-01
1.200000	1.328030e-01	2.340223e-01
1.400000	8.576586e-02	1.600687e-01
1.500000	6.618253e-02	9.975024e-02
1.600000	4.808002e-02	4.268466e-02
1.700000	3.065104e-02	1.582386e-02
1.800000	1.654830e-02	4.924242e-04
2.000000	2.933239e-03	1.183712e-06
2.200000	5.314867e-04	0.000000e+00
2.400000	1.023911e-04	0.000000e+00
2.600000	3.136837e-05	0.000000e+00
2.800000	1.124527e-05	0.000000e+00
3.000000	1.183712e-05	0.000000e+00
3.200000	0.000000e+00	0.000000e+00
3.400000	0.000000e+00	0.000000e+00
3.600000	0.000000e+00	0.000000e+00
3.800000	0.000000e+00	0.000000e+00
4.000000	0.000000e+00	0.000000e+00
4.200000	0.000000e+00	0.000000e+00
4.400000	0.000000e+00	0.000000e+00
4.600000	0.000000e+00	0.000000e+00
4.800000	0.000000e+00	0.000000e+00
5.000000	0.000000e+00	0.000000e+00
